mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation,mode_8_names,mode_8_activation
CATMA1a65265,-,AT1G13609,+,AT2G22795,-,CATMA2a28060,-,AT3G60290,+,AT5G25260,+,CATMA1a42160,-,AT1G02470,-,CATMA5a16760,-
CATMA1a15020,-,CATMA3a24760,+,AT1G74020,+,CATMA2a26720,-,CATMA3a53430,-,CATMA5a42340,+,AT4G14630,+,CATMA3a55060,-,AT5G09590,-
CATMA1a65310,-,CATMA4a17160,+,CATMA4a39270,-,CATMA2a25610,-,AT4G37150,-,CATMA1a63980,+,CATMA2a36550,-,CATMA5a45350,-,AT1G73805,-
CATMA1a42840,-,CATMA5a49880,+,CATMA3a43300,+,CATMA3a50990,-,CATMA1a20840,-,CATMA3a53150,+,CATMA4a16160,-,CATMA3a43300,-,CATMA3a26368,-
AT5G09750,-,CATMA3a24400,-,AT3G47950,+,CATMA2a25415,-,AT3G22600,-,AT5G25980,-,AT5G67310,+,CATMA1a63356,-,AT3G13433,-
CATMA3a48490,-,AT5G07870,-,CATMA4a16360,+,CATMA1a21680,-,CATMA3a21000,-,AT5G26000,-,AT5G67210,-,AT1G05710,-,AT3G26210,-
AT3G01150,-,CATMA1a44596,+,CATMA3a37990,-,CATMA5a14940,-,CATMA3a28420,-,CATMA5a48280,+,CATMA4a16360,+,AT1G74020,-,CATMA3a25700,-
CATMA5a45530,-,CATMA5a49970,+,AT1G51890,+,CATMA3a52700,-,CATMA4a14700,-,AT2G29460,+,CATMA3a48910,-,CATMA1a63360,-,CATMA2a13330,-
AT4G22690,-,CATMA3a52390,-,CATMA1a63360,+,CATMA2a20690,-,CATMA1a59570,+,AT5G59310,+,CATMA5a48200,-,AT1G51890,-,CATMA5a20040,-
AT4G23040,-,CATMA5a50076,+,AT5G62480,+,CATMA5a53620,-,AT3G28510,-,CATMA4a18050,-,CATMA4a17080,+,AT4G08570,+,CATMA2a39060,-
CATMA_GFT_00749,-,CATMA4a26355,+,CATMA3a38015,-,CATMA4a30680,-,AT5G50460,-,CATMA4a17630,+,CATMA1a63360,+,AT4G30270,-,CATMA2a39600,-
CATMA3a48405,-,AT4G15660,-,CATMA2a45630,+,AT1G06570,-,CATMA2a14770,+,CATMA3a54340,+,CATMA1a63370,+,CATMA3a42890,-,AT4G04570,-
CATMA4a32310,-,CATMA3a14870,-,AT1G02660,+,CATMA3a53750,-,CATMA5a35240,-,CATMA4a16360,+,CATMA2a36030,+,CATMA1a63370,-,CATMA3a44780,-
CATMA3a38150,-,CATMA3a24260,+,AT2G29350,+,CATMA2a19640,-,CATMA4a26800,-,CATMA2a13330,+,AT1G44350,-,AT1G58180,-,AT4G04490,-
CATMA1a15040,-,CATMA5a52180,+,CATMA2a27220,-,CATMA5a56370,-,CATMA1a43260,+,AT2G13820,-,CATMA1a63820,-,AT1G52200,-,CATMA5a58760,+
AT5G09450,-,CATMA1a20510,+,CATMA3a38190,-,CATMA3a55140,-,CATMA2a30140,-,AT4G14630,+,CATMA5a43220,-,CATMA5a18670,-,AT4G04500,-
AT5G67290,-,AT3G32190,+,CATMA2a27120,+,CATMA3a55260,-,CATMA4a40050,-,AT1G03850,+,CATMA4a17630,+,CATMA3a42820,-,AT2G43550,+
CATMA1a11835,-,AT4G00210,-,CATMA5a41820,-,CATMA1a22960,-,CATMA3a21430,-,CATMA3a03740,+,AT3G49210,+,CATMA5a18690,-,AT3G25010,-
CATMA4a30640,-,AT5G06760,+,CATMA1a63980,+,CATMA2a15380,-,AT5G23980,+,CATMA2a12320,-,AT1G26410,+,CATMA1a70145,-,AT1G10340,-
CATMA1a11850,-,CATMA1a46560,-,AT4G14630,+,CATMA2a15285,-,CATMA5a40320,+,CATMA3a55990,-,CATMA5a13480,-,CATMA4a36800,-,CATMA5a24340,-
CATMA3a47760,-,CATMA5a53260,-,CATMA2a45105,+,CATMA2a13680,-,CATMA5a58720,-,AT5G55410,+,CATMA3a55060,+,CATMA1a30080,-,AT3G22600,-
AT5G44894,-,CATMA5a53320,+,CATMA4a29005,-,AT3G19810,-,AT5G48490,+,AT2G10940,-,AT5G24780,-,CATMA1a63980,-,CATMA4a30155,-
CATMA3a12730,-,CATMA1a28810,-,CATMA1a69340,+,AT3G23080,-,AT1G02450,-,CATMA5a47680,-,CATMA5a35090,+,CATMA5a39400,-,CATMA1a37630,-
AT5G67360,-,AT2G37870,+,AT4G38540,+,AT2G06050,-,AT5G01540,-,CATMA5a47660,-,AT4G12480,+,CATMA3a42120,-,CATMA5a44340,-
CATMA1a43790,-,CATMA1c72394,-,AT1G02310,+,AT3G50950,-,CATMA1a43060,+,CATMA1a69340,+,AT4G37520,+,CATMA1a69620,-,AT1G32940,-
AT1G09760,-,CATMA1a33780,-,AT3G05400,+,CATMA4a26860,-,CATMA5a57390,-,CATMA3a56390,-,CATMA1a64300,-,CATMA5a45500,-,CATMA5a44660,-
AT1G33680,-,CATMA1a23510,+,CATMA4a14475,-,CATMA5a19700,-,AT3G12220,-,AT2G36710,-,CATMA1a64320,-,CATMA1a69360,-,AT4G11850,-
CATMA3a13700,-,CATMA4a16220,+,CATMA2a00040,-,CATMA4a26390,-,AT2G46710,+,CATMA4a12870,-,AT3G04720,+,CATMA1a69340,-,CATMA5a59940,-
CATMA4a16115,-,AT3G05840,-,CATMA1a69070,+,AT1G72180,-,AT1G02340,+,AT3G01670,-,AT3G44860,-,AT4G04490,-,CATMA5a10710,-
AT1G70860,-,CATMA2a36610,-,CATMA4a40195,-,AT1G52040,-,CATMA1a42776,-,AT2G06904,-,CATMA4a38530,-,AT2G37770,-,AT3G01290,-
AT3G01910,-,AT5G02500,+,CATMA5a54970,+,CATMA5a23420,-,AT5G28540,-,CATMA4a12530,-,CATMA4a18250,-,CATMA2a24880,-,AT5G28540,-
AT5G08670,-,AT5G05110,+,CATMA4a29690,+,CATMA5a24050,-,AT4G37640,-,AT1G51890,+,CATMA1a17760,-,CATMA5a19965,-,AT5G55450,-
CATMA3a37215,-,CATMA2a36760,-,CATMA4a33520,-,AT4G01000,-,CATMA5a20420,+,CATMA4a12020,+,CATMA1a65780,-,AT2G39400,-,AT1G21310,-
CATMA3a56030,-,CATMA2a37440,-,CATMA5a11290,+,AT5G02500,-,CATMA1a11430,-,AT1G74020,+,AT3G32980,+,CATMA1a69070,-,AT3G51330,-
CATMA3a13290,-,AT1G80840,-,CATMA5a39400,+,AT4G01550,-,CATMA5a34500,-,CATMA5a23655,-,CATMA5a11290,+,AT3G14680,-,CATMA3a50275,-
CATMA5a61610,-,AT4G02715,+,CATMA2a39750,+,CATMA1a68720,-,AT5G13320,-,AT5G35525,+,CATMA1a66010,-,CATMA1a32195,-,CATMA4a34790,-
AT5G08080,-,AT1G79270,+,CATMA3a41520,-,CATMA5a30260,-,CATMA5a10710,-,AT3G05400,+,CATMA5a44160,+,AT2G27500,-,AT3G11010,-
AT4G00060,-,AT2G39430,-,AT2G45570,+,CATMA1a26000,-,CATMA5a40510,+,CATMA5a44160,+,CATMA5a19130,+,CATMA5a60600,-,CATMA5a37745,-
CATMA4a19950,-,CATMA1a65395,+,CATMA4a41020,+,CATMA1a62790,-,CATMA5a22130,-,AT1G03220,+,AT3G04070,+,AT2G45170,-,CATMA5a11290,-
CATMA1a48885,-,CATMA1a46330,+,CATMA5a62600,-,CATMA1a27310,-,AT2G22500,-,AT1G05340,+,CATMA5a11430,-,CATMA1a30510,-,CATMA3a43550,-
CATMA5a56130,-,CATMA3a50540,+,CATMA5a11380,+,AT4G03415,-,CATMA1a20290,-,AT3G01970,+,CATMA4a38860,+,CATMA4a33440,-,CATMA1a20290,-
CATMA2a37967,-,CATMA3a50480,-,AT2G02060,+,AT4G04610,-,CATMA2a38620,-,CATMA1c71089,+,CATMA3a42250,-,CATMA3a41153,-,CATMA1a62540,-
CATMA5a46860,-,CATMA3a21610,+,AT1G26410,+,AT4G04950,-,CATMA1a61530,-,AT1G09500,+,CATMA3a22280,-,AT3G44300,-,AT4G10860,-
CATMA3a38175,-,AT1G05870,+,CATMA1a22050,+,CATMA5a32850,-,CATMA3a55720,+,AT1G02310,+,AT4G11320,-,CATMA1a47250,-,AT4G10500,-
AT1G55670,-,AT4G03390,-,CATMA1a10130,+,AT5G67300,-,AT3G05500,-,CATMA5a57740,+,AT3G28290,-,AT2G29350,-,AT3G09020,-
CATMA1a14860,-,CATMA2a43300,-,AT3G22600,+,CATMA1a27380,-,AT2G29350,-,AT5G50740,-,CATMA3a28115,-,AT1G17020,-,AT1G14870,-
AT4G02770,-,AT5G03200,+,AT3G14280,+,CATMA1a62100,-,CATMA1a64376,-,AT1G11610,+,AT1G17020,+,AT1G78830,-,AT2G29350,-
CATMA2a44365,-,AT5G03190,+,AT1G10070,+,CATMA4a24855,-,CATMA1a40250,+,AT3G04070,+,CATMA5a18670,+,AT3G01970,-,AT1G13470,-
CATMA3a40485,-,CATMA3a50330,-,CATMA4a13110,-,CATMA4a10850,-,AT1G56120,-,AT3G04060,+,CATMA4a34550,+,CATMA1a54970,-,CATMA1a32195,-
CATMA3a26416,-,AT1G75960,-,CATMA2a25830,-,CATMA1a60380,-,CATMA1a61920,-,AT1G14870,+,CATMA4a34540,+,CATMA2a26520,-,AT2G31880,-
