mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation,mode_8_names,mode_8_activation
CATMA3a24990,-,CATMA4a13980,+,CATMA2a45275,-,AT1G18470,-,CATMA3a44880,-,CATMA3a14910,+,CATMA3a46640,+,CATMA2a36370,+,CATMA2a41920,-
CATMA2a40590,-,CATMA2c47065_new,+,AT2G30140,+,CATMA1a41495,-,AT2G37710,-,AT5G04160,-,CATMA3a50380,+,CATMA5a36420,-,AT5G25260,-
CATMA1a10440,-,CATMA1a58560,+,CATMA2a41305,+,CATMA4a29005,-,CATMA3a12935,+,AT3G32980,+,CATMA3a55800,-,AT3G02480,-,CATMA1a42160,+
CATMA2a07730_new,-,CATMA1a65770,+,AT3G06550,-,CATMA1a20670,-,CATMA5a24340,-,CATMA2a16180,+,AT3G22850,+,AT2G28790,+,AT1G04220,+
CATMA5a53995,-,CATMA1a33895,+,CATMA3a23245,+,CATMA4a31860,-,AT4G01810,-,AT2G16850,-,AT1G70890,-,CATMA2a14770,-,CATMA1a12220,-
CATMA3a21660,-,CATMA_GFT_00087,+,AT5G40240,+,CATMA5a62130,-,AT3G09940,-,CATMA2a32640,+,AT5G08610,+,AT1G68765,-,CATMA4a41020,-
AT3G08910,-,CATMA1a37850,+,CATMA5a50980,-,CATMA2a29440,-,AT1G07400,-,CATMA5a49020,+,CATMA1a45280,-,AT5G05320,-,AT2G26190,-
AT2G16510,-,CATMA1a40740,+,CATMA1a47750,+,CATMA3a40325,-,CATMA2a42670,-,CATMA3a43940,+,CATMA5a12055,+,CATMA2a13330,-,CATMA1a63030,+
AT2G04930,-,CATMA5a12980,+,CATMA4a24970,+,CATMA2a33170,-,AT2G34940,-,CATMA4a24680,+,AT3G04170,-,CATMA1a12265,-,CATMA5a53360,-
CATMA5a17250,-,AT3G10620,+,CATMA1a62620,-,AT3G10850,-,CATMA5a53080,+,CATMA3a52880,+,CATMA1a33895,-,AT4G25810,-,CATMA5a51190,-
AT3G49560,-,CATMA3a55880,-,CATMA5a57810,-,AT2G02860,-,AT5G58710,-,AT5G64810,+,AT3G15270,-,CATMA5a15550,-,CATMA1a14680,-
CATMA1a54580,-,AT4G00440,+,CATMA2a29390,-,CATMA1a53070,-,CATMA3a22365,-,CATMA3a14290,-,CATMA3a28270,+,AT3G01290,-,AT3G45290,-
CATMA2a15345,-,CATMA1a34110,+,CATMA2a25610,-,AT2G33390,-,CATMA5a22090,+,CATMA5a35090,+,CATMA5a50090,-,AT5G03760,+,CATMA4a39085,-
CATMA3a42940,-,CATMA1a43770,-,AT5G67280,-,CATMA2a20265,-,AT1G56060,-,CATMA5a41950,-,AT4G08870,-,CATMA4a20930,-,CATMA4a29130,+
AT5G16230,-,CATMA1a47690,+,AT5G09530,+,CATMA5a61100,-,CATMA2a39050,-,AT3G22460,+,CATMA5a35200,+,CATMA1a68540,-,CATMA3a16530,+
CATMA4a39730,-,CATMA1a68720,+,CATMA5a10920,-,AT1G01320,-,AT3G05900,+,AT5G10760,+,CATMA1a59505,+,CATMA3a50520,-,CATMA1a13910,-
CATMA1a54040,-,CATMA1a24190,-,AT5G09440,+,CATMA5a27040,-,AT4G02520,-,CATMA3a13520,-,CATMA5a25890,-,AT5G28910,+,AT4G00955,-
CATMA1a62610,-,CATMA4a35580,+,CATMA5a57490,+,CATMA1a25570,-,CATMA3a12510,-,CATMA4a36503,+,CATMA5a22030,-,AT2G29460,-,AT5G05190,-
CATMA5a31790,-,CATMA4a39740,+,CATMA5a52920,-,AT4G01560,-,CATMA2a36270,-,AT2G35860,-,AT2G09970,-,AT2G40000,-,AT5G54710,-
AT1G10470,-,CATMA1a14085,+,CATMA5a56620,-,CATMA5a51110,-,AT5G54710,-,AT2G47130,+,AT2G16950,+,AT2G18670,-,CATMA3a47950,-
CATMA4a40010,-,CATMA3a52130,-,AT3G27690,-,CATMA1a46055,-,CATMA3a46730,-,AT3G17820,+,AT1G51060,+,AT5G06320,-,CATMA5a22130,-
CATMA1a37050,-,CATMA2a11510,+,CATMA3a11535,+,AT4G00490,-,CATMA5a38640,-,AT5G10380,+,AT2G46390,+,CATMA3a13280,-,CATMA3a47350,-
CATMA4a27612,-,CATMA2a45040,-,CATMA1a51520,+,AT4G02510,-,CATMA2a40710,+,AT3G51330,+,CATMA4a28990,-,CATMA1a21680,-,CATMA4a40500,-
CATMA5a17780,-,AT1G13110,-,AT1G65845,+,CATMA5a44110,-,CATMA4a36040,+,CATMA1a53700,-,AT1G08830,+,CATMA3a54340,-,AT1G52827,+
CATMA5a43790,-,AT1G59790,+,CATMA_GFT_02727,-,CATMA5a30360,-,AT5G10150,+,AT3G08860,+,CATMA4a21020,+,CATMA5a53200,-,CATMA3a17790,-
CATMA1a62650,-,CATMA5a36460,+,AT2G43820,+,AT1G29670,-,CATMA5a38610,-,CATMA3a19160,+,AT2G03300,+,CATMA2a32640,-,CATMA5a24103,-
CATMA3a55700,-,CATMA1a67590,+,AT3G19710,-,CATMA1a24810,-,CATMA3a14980,+,CATMA1a53800,-,CATMA3a28100,-,AT1G74590,-,AT2G38210,+
CATMA1a67010,-,AT3G07360,+,AT5G08610,-,AT3G63500,-,CATMA3a10360,-,CATMA1a63370,+,AT2G37770,+,CATMA2a18410,-,CATMA5a23850,-
CATMA4a19890,-,CATMA3c58083,+,AT2G15020,-,AT1G60680,-,AT3G10520,+,CATMA5a46160,+,AT3G28900,+,AT3G21190,+,CATMA1a11840,+
CATMA5a17950,-,CATMA5a24070,+,CATMA5a15220,+,CATMA5a21130,-,CATMA3a41620,-,AT2G21140,-,AT5G44670,-,AT3G47800,-,CATMA1a21980,-
CATMA5a17960,-,AT5G52670,+,CATMA1a22960,-,AT1G69740,-,CATMA5a17620,+,CATMA3a14930,+,CATMA4a29130,-,AT1G10070,-,CATMA3a24410,-
CATMA2a14500,-,CATMA4a30430,+,CATMA1a37020,-,CATMA5a44245,-,AT1G51890,-,CATMA3a25140,+,CATMA3a14050,+,CATMA3a46940,+,CATMA4a29300,+
CATMA1a25880,-,AT1G11680,+,CATMA1a11790,-,CATMA5a20820,-,AT4G04540,-,AT5G06320,+,CATMA3a13940,+,CATMA1a12680,-,CATMA3a16520,+
CATMA5a58170,-,CATMA3a55750,+,AT4G03415,-,CATMA5a55000,-,AT5G47120,-,CATMA1a14680,+,AT5G09220,-,AT2G38530,-,AT4G37520,-
CATMA1a22990,-,AT5G10420,+,CATMA1a40130,+,CATMA5a20125,-,AT4G02220,-,CATMA5a57200,+,CATMA5a18320,+,CATMA3a44490,+,CATMA4a18100,-
CATMA1a30060,-,CATMA2a35740,-,CATMA5a38640,+,AT1G79270,-,AT4G05020,-,CATMA1a66220,+,AT1G09540,+,CATMA5a43560,-,CATMA5a46160,-
AT5G26805,-,AT5G44582,-,CATMA5a12400,+,CATMA4a26445,-,AT1G08890,+,AT4G23210,+,AT5G15725,-,CATMA1a11765,-,CATMA1a61900,-
AT2G10602,-,AT1G03660,-,AT3G03190,-,CATMA1a47910,-,CATMA3a38880,-,CATMA4a12000,+,CATMA4a12020,+,CATMA2a28530,-,CATMA1a11320,-
CATMA1a55130,-,AT5G42410,+,AT2G17500,+,CATMA5a18430,-,AT1G04800,+,CATMA5a23850,+,CATMA5a62040,-,CATMA3a44766,-,CATMA5a43080,-
CATMA1a45180,-,CATMA4a38840,-,CATMA3a10360,+,CATMA5a18400,-,AT5G01015,+,AT5G62480,+,CATMA5a34995,-,AT3G26740,-,AT5G50720,+
AT2G10930,-,CATMA4a33440,-,CATMA3a21540,-,CATMA4a27330,-,CATMA5a36100,+,CATMA1a54343,-,AT2G29300,-,CATMA1a26690,-,AT4G37990,-
CATMA4a40100,-,AT3G11860,+,AT3G05890,-,CATMA1a23450,-,AT2G15960,+,AT3G04290,-,CATMA4a21360,-,AT3G17820,-,CATMA4a22690,-
CATMA1a47920,-,CATMA2a26570,+,AT4G12500,+,CATMA5a31480,-,CATMA4a37770,-,AT1G75030,+,CATMA1a64040,+,CATMA2a06260,-,CATMA5a18670,-
CATMA5a32670,-,CATMA2a46200,+,AT4G34230,+,CATMA5a56150,-,AT1G11610,-,AT2G04420,-,AT1G47395,-,AT1G22400,-,CATMA4a40050,-
AT1G53285,-,CATMA4a15730,+,AT1G03310,-,CATMA4a28000,-,CATMA5a36110,+,CATMA1a61460,-,AT3G16530,+,CATMA1a55010,-,CATMA1a13385,-
CATMA2a24685,-,CATMA1a10990,-,CATMA4a39090,+,CATMA1a26730,-,CATMA3a19570,-,CATMA1a39580,-,CATMA4a10750,+,CATMA2a06290,-,CATMA2a23310,-
CATMA5a18280,-,AT2G33600,+,CATMA3a21043,-,CATMA4a29900,-,CATMA4a29015,+,AT5G40240,+,AT4G39940,-,AT3G26220,-,AT1G18570,-
AT1G05291,-,AT3G17800,+,AT4G12480,+,CATMA1a23050,-,AT1G14010,-,CATMA5a58780,-,AT3G02020,-,AT4G12470,-,CATMA5a16060,-
CATMA5a16065,-,CATMA5a39680,+,AT1G03630,-,AT1G05940,-,CATMA5a22960,-,CATMA1a22290,-,AT5G07440,+,CATMA4a25530,-,CATMA5a58200,-
CATMA3a41780,-,CATMA5a21130,+,AT5G24780,-,CATMA2a15920,-,CATMA4a24320,-,CATMA1a63120,+,CATMA1a18330,-,AT5G59310,-,CATMA2a38540,-
CATMA5a58250,-,AT2G39420,-,CATMA5a21620,+,AT2G17980,-,CATMA4a33430,-,CATMA4a16980,+,CATMA1a22930,-,CATMA4a25750,-,CATMA5a45580,-
AT3G46150,-,AT2G10440,+,AT3G26210,+,CATMA5a16000,-,AT2G32100,+,AT5G40780,+,AT4G37990,+,CATMA5a36100,-,CATMA3a50260,-
CATMA5c65308,-,AT1G10020,-,AT2G28190,-,CATMA2a18580,-,AT5G03350,-,CATMA1a13910,+,CATMA4a12160,-,AT4G37990,-,AT1G75030,-
AT3G10920,-,CATMA3a43320,-,CATMA1a30010,-,CATMA3a53830,-,CATMA4a14710,-,AT3G55890,+,CATMA2a35230,+,AT4G37520,-,AT2G29120,-
AT3G53010,-,CATMA1a51070,+,CATMA3a12510,+,CATMA1a63200,-,AT2G30790,+,CATMA3a45070,-,AT1G46984,-,AT2G38870,-,AT3G04720,-
CATMA1a16515,-,CATMA1a11100,+,CATMA4a26700,+,CATMA5a44760,-,CATMA4a14910,+,CATMA2a13650,-,CATMA3a19160,+,AT3G28100,-,CATMA4a17080,-
CATMA1a38160,-,CATMA5a12050,+,CATMA1a19070,-,CATMA3a53790,-,CATMA2a27520,-,CATMA4a25620,+,AT5G05600,-,CATMA1a58800,-,CATMA5c64412,+
CATMA4a40175,-,CATMA4a23540,-,AT2G35290,+,CATMA4a31830,-,CATMA5a51190,-,AT5G03760,-,CATMA2a20850,-,CATMA3a48940,-,AT3G26830,-
CATMA2a31795,-,AT1G27020,-,AT2G14610,+,CATMA1a48220,-,CATMA4a18760,-,AT5G03670,-,CATMA3a13540,-,CATMA1a20080,-,AT4G11320,+
CATMA5a48400,-,CATMA2a15560,-,AT5G05320,+,AT5G13390,-,CATMA1a61900,-,CATMA4a23340,+,CATMA3a10630,-,AT4G28040,-,CATMA5a42340,-
CATMA5a18840,-,AT3G28170,+,AT5G04590,-,CATMA2a20830,-,CATMA5a45350,+,CATMA5a11530,+,CATMA3a29390,+,AT2G03760,-,AT4G04540,-
CATMA4a37840,-,CATMA1a63850,-,CATMA5a61010,-,CATMA2a20880,-,CATMA1a64040,+,CATMA1a13385,+,CATMA3a43980,-,CATMA3a48880,-,CATMA2a37440,-
CATMA5a54250,-,CATMA5a43580,+,CATMA3a12850,+,CATMA5a54890,-,CATMA4a24970,-,AT3G49260,-,CATMA4a36710,-,CATMA5a58090,-,AT2G30140,-
AT1G12410,-,CATMA3a15990,+,AT1G09500,+,CATMA2a21655,-,AT1G56340,-,CATMA2a35430,+,CATMA2a15470,+,AT5G16370,-,CATMA1a66220,-
CATMA1a23440,-,AT5G41220,+,CATMA2a22520,-,CATMA2a22610,-,AT1G08450,-,AT4G01610,+,AT1G03740,+,AT1G03850,-,CATMA2a45630,-
CATMA1a67195,-,CATMA1a60810,+,AT2G31945,+,CATMA1a21785,-,CATMA4a25210,+,AT5G43910,+,CATMA1a24090,-,AT5G22740,+,AT1G09560,-
CATMA1a11480,-,CATMA5a54890,+,AT1G14870,+,CATMA4a31920,-,AT5G64810,-,CATMA4a25630,+,AT4G15450,-,AT2G02990,-,CATMA2a37026,+
CATMA4a40420,-,CATMA2a28875,+,AT2G23590,-,AT5G02310,-,AT3G62950,+,CATMA1a69070,+,AT2G42530,-,CATMA2a37430,-,CATMA3c58011,+
CATMA1a29555,-,CATMA3a47110,-,CATMA1a47520,-,CATMA2a24200,-,AT3G13433,-,CATMA5a11720,+,CATMA2a15770,-,AT4G24000,-,CATMA3a13750,-
CATMA1a61610,-,CATMA4a14700,-,CATMA3c58048,-,CATMA2a24640,-,CATMA2a41990,-,CATMA1a49600,-,AT1G17380,-,CATMA4a24190,-,CATMA3a52730,+
CATMA2a15993,-,AT1G32370,-,AT3G02480,+,CATMA3a51150,-,AT3G60540,-,AT4G01360,+,CATMA3a29370,+,AT4G23990,+,CATMA3a43960,-
AT3G05545,-,AT2G22122,-,CATMA1a18050,+,CATMA2a25570,-,AT4G27440,+,CATMA2a30940,+,CATMA5a53400,+,CATMA5a42350,-,AT2G41100,-
CATMA3a20080,-,CATMA1a64075,-,CATMA3a13630,+,AT4G02600,-,AT3G60450,-,CATMA1a45210,+,CATMA3a29250,-,AT3G32980,-,CATMA5a16790,-
CATMA5a15160,-,AT1G09932,-,AT3G12910,+,CATMA5a49750,-,AT1G36622,-,CATMA1a20290,+,CATMA5a42350,+,CATMA2a15470,-,AT3G48080,-
CATMA5a58480,-,AT5G60450,-,AT2G04032,-,CATMA4a18665,-,AT1G66700,-,AT3G61280,+,AT1G03220,+,AT3G22840,+,AT5G08240,-
CATMA5a19240,-,CATMA1a11530,+,CATMA3a23780,-,CATMA4a32420,-,CATMA3a46750,+,CATMA4a33440,+,CATMA1a43455,-,CATMA5a42340,-,AT2G47180,+
CATMA4a26200,-,CATMA4a40040,-,CATMA5a48280,+,CATMA4a32720,-,CATMA3a12710,-,CATMA3a40490,+,CATMA5a36060,-,AT2G01220,-,CATMA4a24970,-
CATMA2a16110,-,CATMA4a33145,-,CATMA4a12000,+,CATMA2a29145,-,AT4G29520,-,CATMA3a45345,+,AT1G52300,+,CATMA5a35200,-,CATMA5a41800,-
CATMA3a43800,-,CATMA3a19010,-,CATMA1a65800,+,CATMA5a52095,-,AT4G23150,-,CATMA3c57983,-,AT5G66052,-,AT5G62520,-,AT1G04280,-
CATMA3a19675,-,AT1G01580,+,CATMA1a48493,+,CATMA3a50295,-,AT1G27330,-,AT2G46150,+,CATMA1a23510,-,AT5G05270,+,AT3G03190,+
CATMA3a19590,-,CATMA1a36570,+,CATMA5a20110,-,AT4G02715,-,AT1G08980,+,CATMA2a44370,-,CATMA4a35700,-,AT4G19420,-,CATMA3a45345,-
CATMA1a68355,-,CATMA5a16510,-,AT5G59320,+,AT1G03630,-,AT1G08050,-,CATMA1a20580,+,CATMA1a50880,+,CATMA2a16180,-,AT2G02810,-
CATMA2a46420,-,CATMA2a40260,+,CATMA4a31760,-,CATMA4a33110,-,AT1G19320,-,CATMA1a57830,+,CATMA2a37175,+,CATMA1a51520,-,CATMA2a12420,-
CATMA1a10930,-,CATMA1a53980,+,CATMA2a13890,-,CATMA3a49440,-,AT1G21250,-,CATMA1a68540,+,CATMA5a25900,-,AT5G57560,-,CATMA4a33530,+
CATMA5a48520,-,AT2G06845,+,AT3G01970,+,CATMA5a11500,-,CATMA3a13160,-,CATMA2a39600,+,AT2G15960,-,CATMA4a23340,-,CATMA3a43540,-
AT5G50850,-,CATMA3a18080,+,CATMA2a36520,-,AT1G21450,-,AT1G21310,-,AT1G35230,+,CATMA2a37026,-,CATMA5a35090,-,CATMA3a12760,-
CATMA3a19375,-,AT2G07180,-,CATMA4a37900,-,CATMA5a51375,-,CATMA2a23220,-,CATMA1a27050,-,CATMA5a42340,+,AT3G22600,-,AT2G04450,-
CATMA1a61510,-,CATMA3a29160,+,AT1G65510,+,AT5G66190,-,AT1G32540,+,CATMA3a50520,+,AT1G76930,+,CATMA1a19340,-,CATMA5a41450,-
CATMA4a40685,-,CATMA3a43540,-,AT1G10900,-,CATMA3a49115,-,CATMA2a17330,-,CATMA2a22440,-,CATMA3a17790,+,CATMA1a13190,-,CATMA5a13200,-
CATMA1a59430,-,AT5G39080,-,AT1G22400,+,CATMA2a32880,-,CATMA5a45660,+,CATMA1a11840,-,CATMA3a17800,+,CATMA5a36430,-,AT5G03350,-
CATMA5a30710,-,CATMA2a41360,+,AT3G03770,-,AT5G17990,-,AT1G09080,-,CATMA2a43870,-,AT5G05340,+,AT3G22460,-,CATMA4a31445,-
CATMA5a61410,-,CATMA2a41390,+,AT3G17820,+,CATMA1a19913,-,AT2G44290,-,AT1G65510,+,AT1G02310,+,CATMA2a36050,-,CATMA3a40490,-
CATMA2a21810,-,CATMA1a54120,+,AT3G03480,+,CATMA4a25450,-,CATMA3a13170,-,CATMA4a22700,+,CATMA2a36200,-,CATMA4a22700,-,CATMA1a12880,+
CATMA2a13270,-,CATMA2a30530,-,CATMA3a55760,+,CATMA2a33180,-,AT1G14870,-,AT3G26220,+,CATMA4a17500,-,CATMA2a17090,-,CATMA4a34530,+
CATMA4a25710,-,AT1G09130,+,AT1G10760,-,CATMA3a47300,-,AT1G14360,-,AT4G09650,-,CATMA2a21850,+,AT4G12490,-,CATMA5a51010,+
CATMA5a58710,-,CATMA4a12400,+,AT5G66190,-,CATMA2a34140,-,CATMA3a44780,-,CATMA3a11050,-,CATMA5a37190,-,AT5G07100,-,AT1G02220,-
CATMA3a10820,-,AT5G18220,-,AT1G66960,+,CATMA2a35840,-,CATMA3a47350,-,CATMA3a11570,-,CATMA3a48880,+,AT1G36622,-,CATMA4a16360,-
CATMA3a10825,-,AT3G48590,-,AT1G32940,+,CATMA2a36320,-,CATMA2a34820,-,CATMA1a12340,+,CATMA1a19040,-,CATMA5a34500,-,AT4G23140,-
CATMA1a10940,-,AT2G23150,+,CATMA2a36030,+,CATMA1a19170,-,AT5G42020,-,AT2G14580,+,AT3G49620,+,AT5G07440,-,AT3G22231,-
CATMA3a19080,-,AT1G05290,+,CATMA4a20290,-,CATMA1a62055,-,CATMA4a25620,-,CATMA5a14680,+,CATMA2a35330,+,CATMA3a56390,+,AT2G14580,-
AT3G29790,-,CATMA1a46840,+,CATMA3a46670,-,CATMA2a37070,-,CATMA5a14310,+,AT2G14610,+,CATMA1a19510,-,AT3G09270,-,CATMA2a24880,-
CATMA1a22725,-,CATMA2a32180,+,CATMA3a28035,+,CATMA4a34150,-,AT1G13470,-,AT2G14635,+,AT2G40670,+,AT1G80920,-,CATMA4a32260,+
CATMA1a68530,-,CATMA5a36470,+,CATMA5a14680,+,CATMA4a34490,-,AT3G51330,-,AT2G04450,+,AT4G24000,+,AT4G12480,-,AT3G50950,-
AT4G10610,-,CATMA1a48496,+,AT3G46070,+,CATMA3a44850,-,CATMA4a25630,-,CATMA3a12510,+,AT4G03420,-,CATMA3a19160,-,AT1G03290,-
AT5G02810,-,CATMA2a17350,-,CATMA1a48050,-,CATMA2a39140,-,CATMA3a43940,-,AT1G11850,-,CATMA5a58060,-,AT3G09020,-,AT1G21250,-
CATMA4a41040,-,CATMA2a17740,+,AT2G37770,+,CATMA2a40490,-,AT4G30500,-,AT3G13470,-,AT2G27420,+,CATMA2a17330,-,CATMA1a31680,-
CATMA3a41150,-,CATMA5a37030,+,AT3G28510,+,CATMA2a40560,-,CATMA1a50880,-,AT2G44240,+,AT2G29170,+,AT3G46070,-,CATMA5a40840,-
AT3G60010,-,AT3G48080,-,AT3G55890,+,CATMA2a41410,-,AT4G21840,-,CATMA5a11350,-,CATMA5a21665,-,CATMA2a39600,-,CATMA2a42670,-
CATMA3a25210,-,CATMA4a24645,+,CATMA3a54300,-,CATMA4a20330,-,CATMA1a26690,-,CATMA5a11290,+,AT3G47950,+,AT3G46080,-,CATMA5a17150,-
AT1G32050,-,CATMA3a40350,-,AT2G38870,+,CATMA2a43136,-,CATMA3a47950,-,CATMA5a11170,-,CATMA1a36590,-,CATMA2a36040,-,AT1G22400,-
CATMA2a45550,-,AT3G08860,+,CATMA4a36980,-,CATMA1a18030,-,CATMA3a43550,-,CATMA3a13170,+,AT5G43060,+,AT5G27350,-,CATMA5a36420,-
CATMA3a44740,-,AT5G62530,+,CATMA3a33376,-,CATMA2a43770,-,AT1G09932,-,CATMA5a10710,+,CATMA5a34500,+,AT1G76930,-,CATMA4a12010,-
CATMA5a13700,-,AT1G06570,+,CATMA2a28060,-,CATMA2a44020,-,AT1G09210,-,CATMA1a14400,+,CATMA2a33080,+,CATMA2a39750,-,CATMA5a15740,+
CATMA3a50120,-,CATMA1a14810,+,CATMA1a12340,+,CATMA2a44610,-,AT4G21490,-,AT2G28950,-,AT5G06270,-,AT5G08640,+,AT1G08930,-
CATMA2a39930,-,CATMA5a32600,+,AT3G32980,+,CATMA2a44715,-,CATMA4a34610,-,AT3G14680,+,AT5G42825,-,AT1G75750,-,AT4G02520,-
AT3G28140,-,CATMA3a39913,-,CATMA3a21390,+,CATMA1a41540,-,CATMA5a59940,-,AT1G17020,+,CATMA1a66600,+,CATMA2a36030,-,AT1G74020,-
CATMA4a36825,-,CATMA4a35280,+,CATMA1a33035,-,CATMA1a61380,-,CATMA4a25640,+,AT2G18670,+,CATMA2a30800,-,AT5G09440,-,AT5G41750,-
CATMA1a68005,-,CATMA2a20620,+,AT5G67385,-,CATMA5a51410,-,CATMA4a23510,-,AT2G17500,+,CATMA1a31160,-,CATMA1a14400,-,CATMA1a15630,-
CATMA3a44795,-,CATMA2a20650,+,AT4G28040,+,CATMA4a34950,-,CATMA3a48240,+,CATMA3a14940,-,AT4G11650,+,CATMA1a22534,-,CATMA1a33050,-
AT3G51880,-,CATMA2a21310,-,CATMA2a26586,+,AT2G46520,-,AT1G80920,+,CATMA5a54970,+,AT1G01470,-,AT3G47950,-,AT3G44300,-
AT2G31083,-,AT2G41100,-,CATMA5a54890,-,CATMA3a43920,-,AT5G06690,+,CATMA2a45630,+,AT1G32640,-,CATMA5a42180,-,AT1G58225,-
CATMA2a45020,-,CATMA4a24880,-,CATMA2a17330,+,AT2G46550,-,AT2G31880,-,CATMA1a18290,+,AT5G67600,+,CATMA4a41020,-,CATMA4a27662,-
CATMA1a26990,-,CATMA4a23920,+,CATMA3a40050,-,CATMA1a27950,-,CATMA1a31830,-,CATMA5a16550,+,CATMA3a10410,-,CATMA1a18630,-,CATMA2a05280,-
CATMA1a39970,-,AT1G05370,+,AT5G09650,-,CATMA1a30240,-,CATMA4a35420,+,CATMA3a15645,-,AT1G32940,+,CATMA1a42350,-,AT2G47130,-
CATMA3a49925,-,CATMA1a15700,+,CATMA4a23670,+,CATMA4a11200,-,AT1G58225,-,CATMA3a10360,+,AT1G19550,-,CATMA5a47660,+,CATMA5a56650,-
AT2G36930,-,CATMA1a70060,-,CATMA2a43610,+,CATMA3a41970,-,CATMA1a47320,+,CATMA3a15780,-,CATMA5a38435,-,CATMA4a40730,-,AT4G14630,-
AT3G61350,-,CATMA1a13550,+,CATMA1a29460,-,AT2G02010,-,AT5G35525,-,CATMA5a34500,+,CATMA5a45465,+,AT1G65845,-,CATMA1a63130,-
CATMA5a57270,-,CATMA4a36830,-,CATMA1a68540,+,AT5G50950,-,CATMA2a16680,-,CATMA2a44770,+,CATMA5a12910,-,AT1G65510,-,AT1G08050,-
AT3G25585,-,CATMA4a23520,+,CATMA3a50400,-,CATMA4a11710,-,CATMA1a53060,-,CATMA3a16100,-,CATMA5a49610,-,CATMA4a40580,-,CATMA1a52950,-
CATMA5a20340,-,CATMA2a22870,+,CATMA2a24450,-,AT1G08820,-,CATMA5a16760,-,AT5G02890,-,CATMA3a23580,+,CATMA1a12340,-,CATMA3a38160,-
CATMA2a25680,-,AT1G54010,-,CATMA5a44245,-,CATMA1a15870,-,AT3G49340,-,AT2G45570,+,AT3G02050,+,CATMA1a18400,-,CATMA3a48910,+
AT1G77440,-,CATMA4a34220,-,CATMA3a45760,+,CATMA3a41735,-,AT1G77960,+,AT1G10340,+,CATMA1a69340,+,AT3G49210,-,CATMA4a31540,-
CATMA1a27010,-,CATMA2a22930,-,CATMA5a54060,-,CATMA5a57990,-,CATMA3a42350,-,AT5G01540,+,CATMA1a15360,-,CATMA4a26700,-,CATMA1a25330,-
CATMA3a40800,-,AT1G06620,-,CATMA1a16050,-,CATMA5a37800,-,AT5G43910,-,CATMA2a43610,+,CATMA2a40950,+,CATMA3a25020,-,CATMA5a56510,-
AT3G22942,-,CATMA4a34150,+,CATMA5a54120,-,CATMA3a40320,-,AT2G25900,+,AT2G45210,+,AT1G22890,+,AT1G60730,-,CATMA4a19300,-
CATMA4a41420,-,CATMA2a13930,-,AT5G12240,-,CATMA1a54200,-,AT5G44530,+,CATMA5a35240,+,CATMA5a60200,-,CATMA3a17790,-,CATMA2a30940,-
CATMA4a36740,-,CATMA5a39835,-,CATMA5a42580,-,CATMA3a38140,-,CATMA5a50460,-,CATMA2a42790,+,CATMA1a47044,+,CATMA2a35430,-,AT2G43535,+
CATMA5a12730,-,CATMA5a40100,-,CATMA1a43920,+,CATMA3a29590,-,CATMA4a31130,-,CATMA5a16990,-,CATMA1a16465,-,AT1G58520,+,CATMA3a38630,-
CATMA2a38660,-,CATMA2a23220,-,CATMA5a51370,-,CATMA3a29490,-,AT1G27350,-,AT4G37990,+,CATMA2a27810,+,CATMA2a34810,+,CATMA2a27530,-
CATMA4a41480,-,CATMA4a23510,-,CATMA1a60110,-,CATMA3a26965,-,AT1G77510,-,AT4G37520,+,CATMA4a23640,-,AT4G38540,-,CATMA4a14760,-
CATMA2a35620,-,CATMA1a22460,-,AT2G35980,+,AT5G01010,-,CATMA3a14870,+,AT1G09750,-,AT2G46510,-,CATMA2a41920,-,CATMA5a38640,-
AT5G01410,-,AT5G60560,+,CATMA2a16715,+,AT3G02880,-,AT3G02040,-,AT4G37150,+,AT2G18210,+,CATMA2a41990,-,AT1G66960,-
AT1G11020,-,CATMA3a38870,-,CATMA2a41920,+,AT3G03950,-,AT2G22980,+,CATMA3a17790,+,AT2G04240,-,CATMA2a42040,-,CATMA3a41620,-
CATMA3a18100,-,AT2G15090,-,CATMA4a36650,+,CATMA3a25470,-,AT3G48090,-,CATMA2a41920,+,CATMA2a44640,-,AT1G56010,-,CATMA2a30140,-
CATMA5a38630,-,CATMA2a24120,-,AT1G17020,+,CATMA1a54120,-,CATMA3a50260,-,AT1G26410,+,CATMA2a27120,+,AT5G01550,-,CATMA2a16440,-
AT3G18410,-,AT2G30420,-,AT1G31180,-,CATMA1a14705,-,CATMA1a54330,-,AT4G24000,+,AT2G46100,-,AT3G07350,-,CATMA3a38880,-
CATMA4a36460,-,CATMA1a69500,+,AT2G29460,+,AT3G05640,-,CATMA3a50275,-,AT3G46080,+,CATMA4a36760,-,CATMA1a50890,-,AT1G07000,-
AT1G01910,-,CATMA5a61080,-,CATMA1a28750,+,AT3G06240,-,AT2G26400,-,AT3G46070,+,AT5G55120,-,CATMA3a53140,-,AT5G64810,-
CATMA1a52520,-,CATMA2a24855,-,CATMA5a34500,+,CATMA4a37266,-,AT2G22990,+,AT2G26400,+,CATMA2a26930,+,CATMA4a17630,-,AT4G13410,+
