mode_0_names,mode_0_activation,mode_1_names,mode_1_activation,mode_2_names,mode_2_activation,mode_3_names,mode_3_activation,mode_4_names,mode_4_activation,mode_5_names,mode_5_activation,mode_6_names,mode_6_activation,mode_7_names,mode_7_activation
AT2G29080,-,AT5G59330,+,CATMA2a40560,+,AT2G30650,-,CATMA2a06400,-,CATMA5a12280,+,AT1G31180,-,CATMA5a49970,-
CATMA5a59410,-,CATMA4a24560,+,CATMA4a34960,+,AT1G07500,-,CATMA3a48380,-,AT1G07430,+,CATMA1a48330,-,CATMA4a33530,+
CATMA5a19540,-,CATMA4a17720,+,CATMA5a24720,-,AT2G29300,-,CATMA1a19100,-,CATMA5a10860,+,CATMA4a25450,-,CATMA5a56500,+
CATMA1a36595,-,AT4G38540,+,AT1G28170,-,CATMA1a69070,-,AT1G04200,-,AT1G03220,-,CATMA5a24103,+,AT3G10450,-
CATMA1a25070,-,CATMA2a23980,+,CATMA4a34970,+,AT4G37990,-,CATMA3a10615,-,CATMA5a57810,+,CATMA1a57820,+,CATMA5a40840,+
CATMA4a13600,-,CATMA1a69225,-,AT5G50460,-,AT3G05160,-,CATMA3a25075,-,CATMA1a70145,-,AT1G09510,+,AT1G07720,+
AT2G03390,-,AT5G62920,-,CATMA3a19090,+,CATMA5a61730,-,CATMA2a15285,-,CATMA1a69670,+,AT2G18670,+,AT3G22210,-
CATMA1a64890,-,CATMA2a24210,-,CATMA4a32320,+,AT5G26000,+,CATMA4a29300,+,CATMA5a10000,+,CATMA3a44850,-,CATMA1a58560,+
CATMA3a43080,-,CATMA1a63130,+,CATMA2a13680,+,AT3G13672,-,CATMA3a38785,-,CATMA1a69210,+,AT1G05100,+,CATMA2a18340,+
CATMA5a50595,-,CATMA5a41670,-,AT1G16300,-,AT3G16400,-,CATMA5a32850,-,AT1G07890,+,CATMA4a25620,+,CATMA5a22130,+
CATMA1a64850,-,CATMA4a40290,-,AT3G17920,+,AT3G16420,-,AT4G02280,-,CATMA1a67745,+,CATMA1a47750,+,CATMA2a27330,+
CATMA1a64840,-,AT5G10390,-,CATMA3a44560,+,AT5G27350,-,AT4G02715,-,AT5G10470,+,CATMA4a12000,+,AT1G01650,+
