	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60
AT1G01240	1686.86997567701	1453.00123233491	2009.37172913582	4237.90327820132	4945.14592480077	5527.75345299249	6289.79117460379	5889.66065542384	7302.01165592272	6836.76593685568	7423.88218720659	7498.89125762064	5969.71238892532	6356.18376714641	6072.42281163845	6963.97878431482	5799.42698493283	7871.80753337386	7977.70667661664	6872.07728895076	9150.15050928933	9634.68750659315	9506.74600421557	10057.8475844628	8972.45546825475	11371.6639361242	14535.8885122486	15233.0646019578	19995.5781487454	20293.5595107025
AT1G01250	142.508348051103	67.4795505969772	175.90909419518	3191.60754061669	3810.39183354626	4178.60684751636	7201.25677811524	7316.00024272376	6841.66298511265	9900.64544197377	10660.5391722317	11756.9878407532	5943.05467460401	7018.77426198425	5465.47163415685	12718.3100121195	11834.480604659	8157.89745474097	10985.3489295524	17261.5525545361	11847.4120084775	13849.6389639044	16501.5469260165	20443.2234484739	14085.9978532737	12843.1662640676	15349.8415227552	14776.8530258056	12606.111563565	9244.08604878216
AT1G01280	22.3367316694519	8.76357799960743	4.89873426872652	21.4357377024537	22.0795312567211	3.97475851781689	0	0	0	0	0	0	7.27028572399566	9.3699665936664	15.282943317882	0	7.97232974864754	3.15250602057423	3.12239008869536	0	0	0	0	5.1176293679424	0	0	0	0	0	0
AT1G01290	1266.93942029131	1420.57599373636	1314.64214193461	1340.6026227967	1384.31970212594	1540.50283697675	1540.21855084688	1346.20814981116	1575.8483452897	1683.43695910167	1320.2336349394	1641.98464565029	1311.07485889388	1388.76290584698	1387.1090458992	1045.21109179701	1110.81127831156	1350.06070331092	1479.23230451943	1151.29027562214	1399.97721946983	1734.79409965976	1284.66375543539	1258.93682451383	1728.27042281127	1622.62959405643	1521.50693467236	1048.48625396373	1202.54437203696	1561.3191346225
AT1G01300	5019.51034075923	4463.29027520007	4814.11976772124	9066.7377038757	9926.42199165799	10064.0885671124	14093.7913356863	13837.6976113402	12891.8133335541	15915.6905305422	15806.6709092639	13440.7978964406	9645.24572716757	10153.0280875657	9297.85161091717	16652.499682238	15123.5095331844	10255.8902114331	13974.2568419561	17200.2544275668	12145.0119563288	15845.2503833751	17755.7628622711	19327.5802462625	24183.907772122	19654.4986613404	14569.5815562565	15307.0989366842	13359.1066376442	11982.6757033039
AT1G01310	46.46040187246	104.286578195328	48.9873426872652	40.5540983559935	50.8498295609334	59.6213777672534	31.6638174917127	117.192227327311	130.20998038503	153.921161847309	230.693456210463	163.254019822256	66.2403810408493	43.5034163277368	37.1157194862849	104.899124041111	57.5779370735656	56.7451083703362	108.503055582164	54.6110585725896	84.8788583660599	132.801479353265	117.106996849169	226.881568645446	84.6317990551912	80.8663441482371	180.878446779231	170.078877074269	144.230399761442	204.586645226396
AT1G01350	2174.70419533784	2089.67517400639	1983.09669987629	1957.60426207003	1910.21399205875	1855.64440517509	2474.30116685241	2203.61453094089	2532.43032717342	3262.64384010202	3285.29717157551	2948.01680422834	2185.93257434803	2081.47115045018	1983.87159450221	2444.81111616535	2190.61905204504	2060.16268444526	2824.20183522495	2817.48481778584	2951.89807428631	3305.68006714477	3534.28916490793	3613.04633376733	4476.57673949827	4344.24606186513	5240.15500228068	6316.92958733491	6246.86211953779	6943.38359983269
AT1G01360	482.92013869355	540.712762575779	599.872278179511	607.732131077675	684.465468958353	642.775234595532	1148.94423469929	1053.72840297719	1115.49967447963	1407.10605436792	1584.28036192728	1616.34971691787	710.064572376909	862.036926617309	715.387299118001	1101.91332100843	945.163982422992	1056.08951689237	1593.19954275681	1904.69998164399	1689.19407019862	1730.00846076415	1802.27668150872	2710.63768855349	1257.59883859205	1688.91348270253	2847.94887772006	2191.0161223097	3618.87184855982	3565.90933390219
AT1G01390	6.25428486744654	1.75271559992149	6.68009218462707	12.7455737690265	6.02169034274211	26.119841688511	39.5797718646409	47.0772195246463	50.2384963690274	7.2718659140461	27.7943923145136	8.09524065234326	33.9280000453131	26.1020497966421	40.754515514352	111.514384115775	70.8651533213115	85.1176625555043	71.8149720399933	102.535048748535	86.9746326467034	74.1774028820036	56.2113584876013	131.352487110522	10.3933788313393	13.2567777292192	37.2396802192535	20.0092796557963	5.61936622447177	8.97309847484194
AT1G01420	138.041001717213	50.3905734977427	108.217493390959	249.697377020475	309.782514298844	287.318258573621	196.768008698501	227.372953874356	214.282566145443	146.649295933263	237.642054289091	228.015945041002	311.006667082036	352.043030590609	319.486291264296	520.71547159146	465.052568671107	353.868800809458	431.670429762133	500.415618348831	411.819646146439	387.636750544664	504.73115641992	508.351183882278	476.61065783713	403.006042968264	308.557350388101	416.193016840564	370.878170815137	384.048614723235
AT1G01430	1728.41629658219	1710.65042552337	1583.62718723559	2179.49311450354	2373.88414844989	2083.34128598145	1387.55371651184	1721.82426303972	1321.58003713625	702.94703835779	651.778499775344	434.444581675755	1679.436002243	1719.38886993778	2314.27427385071	1711.4622850311	1854.00957376881	1409.17019119668	1044.4394846686	1039.83913567808	598.343557123706	346.958819931952	474.283337239136	346.292920564102	286.560302064069	282.369365632369	193.291673518983	114.052894038039	204.170306155808	104.087942308166
AT1G01440	696.012558820122	779.958441965062	744.162269367456	659.293770416009	756.725753071258	709.210484107614	867.362429147988	656.07614443922	897.116006589775	1241.0651159972	1125.6728887378	940.397122447209	838.506286834166	873.414743195332	899.510378138199	1083.95761509148	961.108641920287	822.804071369875	843.825921469921	884.922051155839	1024.83362323465	1226.31996700087	1482.57458011049	1361.28941187268	1346.68494286067	1616.00120519182	1333.53521547041	1850.85836816116	1807.56280220509	1546.96217706275
AT1G01448	940.376403283925	750.162276766396	871.08402087537	980.250491690587	1189.61838104394	1152.6799701669	1573.0132189633	1625.66653805321	1728.61438526898	1626.47400944165	1891.40839700265	1798.49263159559	853.854667807046	1189.31647406751	1117.83813982223	695.547344993311	620.955905977992	1219.23170345708	1341.84714061683	896.067165150245	1224.9800670361	1453.63781454249	1315.11157461617	1074.7021672679	2065.31285062756	2085.29113680618	1824.74433074342	1902.88249526623	2017.35247458537	2411.96887003751
AT1G01450	40.6528516384025	37.2452064983316	47.6513242503398	33.0226229470233	40.1446022849474	56.2144418948389	82.5520956033939	43.0706476502083	63.5670770383612	73.9306367928021	108.398130026603	62.063511667965	44.4295238688624	54.8812329057603	56.7652180378475	21.735854531041	25.6886180789754	37.0419457417472	64.0089968182549	10.0306025949654	50.2985827354429	49.0527986800346	44.5006588026844	40.9410349435392	59.3907361790816	50.3757553710329	65.6127699101134	116.053822003619	84.2904933670766	69.9901681037671
AT1G01453	0	0	0	0	0	0	0	5.00821484304748	0	0	4.16915884717704	4.04762032617163	0	6.02354995307126	5.09431443929401	5.67022292114112	0	4.72875903086135	0	0	7.33520998225209	11.9640972390328	10.5396297164252	17.058764559808	4.45430521343112	3.97703331876576	19.5064991624661	30.0139194836945	22.4774648978871	46.6601120691781
