Gene1	Gene2	Corr_strength
AT4G27670	ATMG00940	0.8185049901300602
AT4G27670	ATMG00270	0.861800014342495
AT4G27670	AT5G15250	0.8746453730886978
AT4G27670	AT5G27660	0.8517148658365159
AT4G27670	ATMG00640	0.8417987299544528
AT4G27670	ATMG00650	0.87988953372058
AT4G27670	AT2G07675	0.9072638580526242
AT4G27670	AT1G01940	0.8913898836628931
AT4G27670	257239_at	0.9282115255590143
AT4G27670	AT1G76280	0.8635053768758943
AT4G27670	ATMG00690	0.9133613216663589
AT4G27670	ATMG00060	0.849376469212866
AT4G27670	AT2G30000	0.9676022746217163
AT4G27670	AT1G17460	0.803824299572819
AT4G27670	ATMG00620	0.8385468353016691
AT4G27670	AT4G26780	0.8431988181611406
AT4G27670	AT5G58787	0.8165563824345176
AT3G09640	AT5G12020	0.873656542664998
AT3G09640	AT2G29500	0.9113577711150337
AT3G09640	AT1G52560	0.9493801057149984
AT3G09640	AT1G53540	0.9358914170972181
AT3G09640	AT4G10250	0.9319208675362203
AT3G09640	AT5G12030	0.8916516293942182
AT3G09640	AT3G46230	0.9217031454755403
AT3G09640	AT4G25200	0.8868120791766951
AT3G09640	AT4G12400	0.8241445695570041
AT3G09640	AT5G37670	0.8283865497850231
AT3G09640	AT1G72660	0.9360774081562234
AT3G09640	AT1G56600	0.8004459824969318
AT3G09640	AT2G46240	0.8065256817951824
AT3G09640	254414_at	0.9261108261687249
AT3G09640	AT5G25450	0.8104351978320528
AT3G09640	AT4G26270	0.8049701272099252
AT3G09640	AT2G32120	0.8678650009669567
AT3G09640	AT1G17870	0.8599834580250894
AT3G09640	AT1G21550	0.8066734803494443
AT3G09640	AT5G47830	0.8225556763281401
AT3G09640	AT4G29770	0.8176386319890516
AT3G09640	ATMG00630	0.8651053411326013
AT3G09640	AT2G26790	0.8203169441479709
AT3G09640	AT1G59980	0.8527498990239245
AT3G09640	AT5G07330	0.8431216529996416
AT3G09640	AT3G12510	0.8548597337581526
AT3G09640	AT4G19430	0.8275447679442152
AT3G09640	ATMG00160	0.8433825987221634
AT3G09640	ATMG00940	0.8074299061941632
AT3G09640	ATMG00270	0.8025547747602353
AT3G09640	AT5G15250	0.8626225516670218
AT3G09640	AT5G27660	0.8777418201389414
AT3G09640	AT3G25650	0.815642990949921
AT3G09640	ATMG00640	0.8531743767364556
AT3G09640	ATMG00650	0.8440850719864165
AT3G09640	AT2G07675	0.8580513244100613
AT3G09640	AT1G01940	0.8712211697369028
AT3G09640	AT1G32090	0.8117714690579657
AT3G09640	257239_at	0.8580991448385988
AT3G09640	AT1G76280	0.866534526541013
AT3G09640	AT4G23885	0.8128256251077169
AT3G09640	ATMG00690	0.8434820202905567
AT3G09640	ATMG00060	0.8262045691393594
AT3G09640	AT2G30000	0.9199008440024019
AT3G09640	ATMG00620	0.8076579996100617
AT3G09640	AT4G26780	0.8649907442283464
AT3G09640	AT5G58787	0.8826115601069725
AT2G26150	AT4G25200	0.8105547882487766
AT2G26150	AT1G59860	0.90294692974535
AT2G26150	AT1G74310	0.9358436752859609
AT2G26150	AT4G12400	0.8192805164627911
AT2G26150	AT5G51440	0.9457209767877656
AT2G26150	AT3G16050	0.9373365195960358
AT2G26150	AT5G48570	0.886664848595392
AT2G26150	AT5G52640	0.9303709004176945
AT2G26150	AT3G12580	0.880777618313422
AT2G26150	AT2G46240	0.813282926452467
AT2G26150	AT2G20560	0.8783158885138956
AT2G26150	AT3G24500	0.8904793749744438
AT2G26150	AT5G64510	0.9259090350776296
AT2G26150	AT1G54050	0.8714706982863529
AT2G26150	AT3G51910	0.8511375200719887
AT2G26150	AT5G25450	0.8787223522359828
AT2G26150	AT2G32120	0.8072547060798521
AT2G26150	AT1G16030	0.8234525285546588
AT2G26150	AT1G17870	0.8060811926911319
AT2G26150	AT1G30070	0.9103271905522314
AT2G26150	AT3G20180	0.8239695776478323
AT2G26150	AT5G18340	0.8575059728776745
AT2G26150	AT5G12110	0.8425588145360854
AT2G26150	AT2G19310	0.8380977101017987
AT2G26150	AT3G09350	0.9233623394278798
AT2G26150	AT1G67360	0.8130501940015891
AT2G26150	AT4G36988	0.8544985440619551
AT2G26150	AT1G26800	0.8674091961084518
AT2G26150	AT1G07350	0.9312628629086065
AT2G26150	AT5G47830	0.8662412858037489
AT2G26150	AT5G35320	0.8683794328667694
AT2G26150	AT3G17110	0.8073862479173677
AT2G26150	AT3G08970	0.8775781834682063
AT2G26150	AT4G11660	0.857002818221336
AT2G26150	AT1G14200	0.8927277075789168
AT2G26150	AT5G09590	0.9131277502775249
AT2G26150	AT3G07150	0.8295977592788739
AT2G26150	AT3G53230	0.8514021924149923
AT2G26150	AT4G23570	0.874678774130232
AT2G26150	AT3G07090	0.8445649216491151
AT2G26150	AT3G22090	0.8187853850221622
AT2G26150	AT2G25140	0.8619306782948118
AT2G26150	AT5G23480	0.8607019494838469
AT2G26150	AT3G12050	0.9282600981907232
AT2G26150	AT3G25230	0.9299178812767583
AT2G26150	AT5G56030	0.9053398345604347
AT2G26150	AT3G17611	0.8575211955777368
AT2G26150	AT3G23990	0.9080984260477574
AT2G26150	AT1G55530	0.8824646963344169
AT2G26150	AT2G21940	0.8697406005059323
AT2G26150	AT5G58590	0.8843373958002833
AT2G26150	AT3G03520	0.8017628329705753
AT2G26150	AT2G41160	0.8811317671297848
AT2G26150	AT5G53400	0.8676758865675168
AT2G26150	AT2G47730	0.8110926057065886
AT2G26150	AT2G36460	0.8463714052414584
AT2G26150	AT3G07770	0.8433138960450336
AT2G26150	AT3G57880	0.8828988027478971
AT5G12020	AT2G29500	0.9625573950890488
AT5G12020	AT1G52560	0.9018892575216837
AT5G12020	AT1G53540	0.9695372566281809
AT5G12020	AT4G10250	0.8834458721829268
